1.4893617021e+00 	1.4705882353e+00 	1.2965900117e+00 	
1.4893617021e+00 	1.4705882353e+00 	1.2977119283e+00 	
1.4705882353e+00 	1.4893617021e+00 	1.3335401014e+00 	
1.4893617021e+00 	1.4705882353e+00 	1.2932422956e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1052118001e+00 	1.2284856329e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5334372865e+00 	1.4675600386e+00 	1.3399469741e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.0716263068e+00 	1.5713517832e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5875171474e+00 	1.3177709508e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2149713725e+00 	1.2656732394e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4261393864e+00 	1.3178977192e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5125180998e+00 	1.2881983179e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2601301205e+00 	9.1938389331e-01 	
1.4893617021e+00 	1.4893617021e+00 	1.5274072046e+00 	1.3385313969e+00 	1.3139749542e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4531304431e+00 	1.5339699204e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4569893577e+00 	1.5458803531e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4169888470e+00 	1.4979785386e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1871660895e+00 	1.3300221790e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2618918503e+00 	1.4714768768e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5027147767e+00 	1.7213829304e+00 	1.2097393407e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5709211530e+00 	1.3046994392e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4464217711e+00 	1.4679849231e+00 	1.0979219041e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.0619033121e+00 	9.7775649318e-01 	
1.4893617021e+00 	1.4893617021e+00 	1.2645446872e+00 	1.0678316023e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5745960401e+00 	1.6084508067e+00 	1.1379917308e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1813559733e+00 	1.2702755162e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1226339028e+00 	1.4173859237e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5295427864e+00 	1.5781967555e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5744088420e+00 	1.1961615640e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4218103786e+00 	1.3764061540e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.8512554564e+00 	1.8385026184e+00 	1.5160213432e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6925525342e+00 	1.1893633638e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5813638037e+00 	1.4469130385e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2695948893e+00 	1.0423175116e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3607224955e+00 	1.2304077241e+00 	1.2941091045e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3807405389e+00 	1.0881488617e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6084196351e+00 	1.6323920017e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.7179642460e+00 	1.5295350385e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6125638912e+00 	1.6538375837e+00 	1.4801635895e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.4814911146e+00 	9.6818684149e-01 	
1.4893617021e+00 	1.4893617021e+00 	1.3854069802e+00 	1.3572781686e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6849968337e+00 	1.3734004660e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6984796449e+00 	1.7897474473e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6382780293e+00 	1.5843661243e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.3549543478e+00 	1.1806044403e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1518874217e+00 	1.5352422952e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.6581467845e+00 	1.3030781177e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.2462179940e+00 	1.3084468709e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5812890506e+00 	1.3946228788e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.5953064663e+00 	1.0080710726e+00 	
1.4893617021e+00 	1.4893617021e+00 	1.1224047694e+00 	1.1632157722e+00 	1.3040444498e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.0300284177e+00 	1.4061251700e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.7365502397e+00 	1.4938178204e+00 	
1.4705882353e+00 	1.4705882353e+00 	1.6073891207e+00 	1.1916576768e+00 	
