1.4893617021e+00	1.4705882350e+00	1.2965900119e+00	
1.4893617020e+00	1.4705882350e+00	1.2977119283e+00	
1.4705882353e+00	1.4893617020e+00	1.3335401017e+00	
1.4893617021e+00	1.4705882353e+00	1.2932422956e+00	
1.4893617021e+00	1.4893617022e+00	1.1052118004e+00	1.2284856327e+00	
1.4893617022e+00	1.4893617021e+00	1.5334372865e+00	1.4675600388e+00	1.3399469741e+00	
1.4893617021e+00	1.4893617021e+00	1.0716263068e+00	1.5713517828e+00	
1.4893617021e+00	1.4893617021e+00	1.5875171470e+00	1.3177709510e+00	
1.4893617021e+00	1.4893617022e+00	1.2149713728e+00	1.2656732396e+00	
1.4893617022e+00	1.4893617022e+00	1.4261393865e+00	1.3178977194e+00	
1.4893617022e+00	1.4893617020e+00	1.5125181000e+00	1.2881983181e+00	
1.4893617020e+00	1.4893617020e+00	1.2601301206e+00	9.1938389355e-01	
1.4893617020e+00	1.4893617020e+00	1.5274072047e+00	1.3385313966e+00	1.3139749545e+00	
1.4893617020e+00	1.4893617020e+00	1.4531304432e+00	1.5339699205e+00	
1.4893617020e+00	1.4893617030e+00	1.4569893580e+00	1.5458803537e+00	
1.4893617030e+00	1.4893617020e+00	1.4169888474e+00	1.4979785388e+00	
1.4893617020e+00	1.4893617020e+00	1.1871660897e+00	1.3300221795e+00	
1.4893617020e+00	1.4893617020e+00	1.2618918502e+00	1.4714768768e+00	
1.4893617020e+00	1.4893617020e+00	1.5027147765e+00	1.7213829301e+00	1.2097393411e+00	
1.4893617020e+00	1.4893617020e+00	1.5709211532e+00	1.3046994389e+00	
1.4893617020e+00	1.4893617020e+00	1.4464217712e+00	1.4679849228e+00	1.0979219040e+00	
1.4893617020e+00	1.4893617020e+00	1.0619033126e+00	9.7775649282e-01	
1.4893617020e+00	1.4893617030e+00	1.2645446871e+00	1.0678316023e+00	
1.4893617030e+00	1.4893617020e+00	1.5745960398e+00	1.6084508065e+00	1.1379917311e+00	
1.4893617020e+00	1.4893617020e+00	1.1813559729e+00	1.2702755163e+00	
1.4893617020e+00	1.4893617020e+00	1.1226339025e+00	1.4173859241e+00	
1.4893617020e+00	1.4893617020e+00	1.5295427866e+00	1.5781967559e+00	
1.4893617020e+00	1.4893617020e+00	1.5744088420e+00	1.1961615636e+00	
1.4893617020e+00	1.4893617020e+00	1.4218103789e+00	1.3764061540e+00	
1.4893617020e+00	1.4893617020e+00	1.8512554565e+00	1.8385026180e+00	1.5160213434e+00	
