0  25 1.48936  0 0  -1.47059 0.898993  -0.934322 -10  -35 -10  -35 -10  -35 -10  -35 -10  -35 
70  25 -1.48936  0 0  -1.47059 -0.887112  -0.947147 -80  -35 -80  -35 -80  -35 -80  -35 -80  -35 
70  0 0  1.47059 -1.48936  0 -0.952393  0.933422 -80  -10 -80  -10 -80  -10 -80  -10 -80  -10 
0  0 1.48936  0 0  1.47059 0.938613  0.889652 -10  -10 -10  -10 -10  -10 -10  -10 -10  -10 
1.48936  25 -1.48936  0 1.48936  0 -0.590369  -0.934322 0.461924  -1.13833 -11.4894  -35 -11.4894  -35 -11.4894  -35 -11.4894  -35 
2.97872  25 -1.48936  0 1.48936  0 -1.02744  -1.13833 0.0920163  -1.46467 0.961913  -0.932835 -12.9787  -35 -12.9787  -35 -12.9787  -35 
4.46809  25 -1.48936  0 1.48936  0 -0.527449  -0.932835 0.727538  -1.39278 -14.4681  -35 -14.4681  -35 -14.4681  -35 -14.4681  -35 
5.95745  25 -1.48936  0 1.48936  0 -0.761824  -1.39278 0.789865  -1.05481 -15.9574  -35 -15.9574  -35 -15.9574  -35 -15.9574  -35 
7.44681  25 -1.48936  0 1.48936  0 0.65716  -1.02191 -0.699497  -1.05481 -17.4468  -35 -17.4468  -35 -17.4468  -35 -17.4468  -35 
8.93617  25 -1.48936  0 1.48936  0 0.659464  -1.26451 -0.832201  -1.02191 -18.9362  -35 -18.9362  -35 -18.9362  -35 -18.9362  -35 
10.4255  25 -1.48936  0 1.48936  0 -0.829898  -1.26451 0.768693  -1.03371 -20.4255  -35 -20.4255  -35 -20.4255  -35 -20.4255  -35 
11.9149  25 -1.48936  0 1.48936  0 -0.720668  -1.03371 0.426961  -0.81423 -21.9149  -35 -21.9149  -35 -21.9149  -35 -21.9149  -35 
13.4043  25 -1.48936  0 1.48936  0 0.819003  -1.28927 -1.0624  -0.81423 -0.329855  -1.2719 -23.4043  -35 -23.4043  -35 -23.4043  -35 
14.8936  25 -1.48936  0 1.48936  0 -0.670359  -1.28927 0.821978  -1.29515 -24.8936  -35 -24.8936  -35 -24.8936  -35 -24.8936  -35 
16.383  25 -1.48936  0 1.48936  0 -0.667384  -1.29515 0.872886  -1.27586 -26.383  -35 -26.383  -35 -26.383  -35 -26.383  -35 
17.8723  25 -1.48936  0 1.48936  0 -0.616475  -1.27586 0.904139  -1.19435 -27.8723  -35 -27.8723  -35 -27.8723  -35 -27.8723  -35 
19.3617  25 -1.48936  0 1.48936  0 0.683243  -0.970847 -0.585223  -1.19435 -29.3617  -35 -29.3617  -35 -29.3617  -35 -29.3617  -35 
20.8511  25 -1.48936  0 1.48936  0 -0.806119  -0.970847 0.476809  -1.39208 -30.8511  -35 -30.8511  -35 -30.8511  -35 -30.8511  -35 
22.3404  25 -1.48936  0 1.48936  0 0.931308  -1.17933 -1.01255  -1.39208 0.0331722  -1.20928 -32.3404  -35 -32.3404  -35 -32.3404  -35 
23.8298  25 -1.48936  0 1.48936  0 0.870794  -1.30748 -0.558054  -1.17933 -33.8298  -35 -33.8298  -35 -33.8298  -35 -33.8298  -35 
25.3191  25 -1.48936  0 1.48936  0 -0.618567  -1.30748 1.14719  -0.91593 0.317986  -1.05086 -35.3191  -35 -35.3191  -35 -35.3191  -35 
26.8085  25 -1.48936  0 1.48936  0 0.740442  -0.761173 -0.342169  -0.91593 -36.8085  -35 -36.8085  -35 -36.8085  -35 -36.8085  -35 
28.2979  25 -1.48936  0 1.48936  0 0.449158  -1.18209 -0.748919  -0.761173 -38.2979  -35 -38.2979  -35 -38.2979  -35 -38.2979  -35 
29.7872  25 -1.48936  0 1.48936  0 -1.0402  -1.18209 1.0715  -1.19958 0.0322416  -1.13753 -39.7872  -35 -39.7872  -35 -39.7872  -35 
31.2766  25 -1.48936  0 1.48936  0 0.790101  -0.878261 -0.417858  -1.19958 -41.2766  -35 -41.2766  -35 -41.2766  -35 -41.2766  -35 
32.766  25 -1.48936  0 1.48936  0 -0.69926  -0.878261 0.58296  -1.29195 -42.766  -35 -42.766  -35 -42.766  -35 -42.766  -35 
34.2553  25 -1.48936  0 1.48936  0 0.697929  -1.36103 -0.906402  -1.29195 -44.2553  -35 -44.2553  -35 -44.2553  -35 -44.2553  -35 
35.7447  25 -1.48936  0 1.48936  0 -0.791433  -1.36103 0.589013  -1.04109 -45.7447  -35 -45.7447  -35 -45.7447  -35 -45.7447  -35 
37.234  25 -1.48936  0 1.48936  0 0.288597  -1.39221 -0.900349  -1.04109 -47.234  -35 -47.234  -35 -47.234  -35 -47.234  -35 
38.7234  25 -1.48936  0 1.48936  0 0.113142  -1.84779 -1.20076  -1.39221 1.04136  -1.10176 -48.7234  -35 -48.7234  -35 -48.7234  -35 
40.2128  25 -1.48936  0 1.48936  0 0.866888  -1.4537 -0.447998  -1.10176 -50.2128  -35 -50.2128  -35 -50.2128  -35 -50.2128  -35 
41.7021  25 -1.48936  0 1.48936  0 -0.622473  -1.4537 0.90639  -1.12784 -51.7021  -35 -51.7021  -35 -51.7021  -35 -51.7021  -35 
43.1915  25 -1.48936  0 1.48936  0 -0.582972  -1.12784 0.547183  -0.88714 -53.1915  -35 -53.1915  -35 -53.1915  -35 -53.1915  -35 
44.6809  25 -1.48936  0 1.48936  0 -0.0415847  -1.36009 0.855411  -0.884406 -0.942179  -0.88714 -54.6809  -35 -54.6809  -35 -54.6809  -35 
46.1702  25 -1.48936  0 1.48936  0 0.490122  -1.29082 -0.63395  -0.884406 -56.1702  -35 -56.1702  -35 -56.1702  -35 -56.1702  -35 
47.6596  25 -1.48936  0 1.48936  0 0.622351  -1.48314 -0.999239  -1.29082 -57.6596  -35 -57.6596  -35 -57.6596  -35 -57.6596  -35 
49.1489  25 -1.48936  0 1.48936  0 -0.867011  -1.48314 0.657098  -1.38119 -59.1489  -35 -59.1489  -35 -59.1489  -35 -59.1489  -35 
50.6383  25 -1.48936  0 1.48936  0 -0.832264  -1.38119 0.466261  -1.58675 1.1655  -0.912413 -60.6383  -35 -60.6383  -35 -60.6383  -35 
52.1277  25 -1.48936  0 1.48936  0 0.863058  -1.20414 -0.323864  -0.912413 -62.1277  -35 -62.1277  -35 -62.1277  -35 -62.1277  -35 
53.617  25 -1.48936  0 1.48936  0 0.755801  -1.16108 -0.626304  -1.20414 -63.617  -35 -63.617  -35 -63.617  -35 -63.617  -35 
